Mix,Treatment,Replicate,Bloc,Location,Generation,Fecundity
2,restricted connectedness,6,4,core,12,45
2,restricted connectedness,6,4,core,12,53
2,restricted connectedness,6,4,core,12,27
2,restricted connectedness,6,4,core,12,35
2,restricted connectedness,6,4,core,12,40
2,restricted connectedness,6,4,core,12,51
2,restricted connectedness,6,4,core,12,27
2,restricted connectedness,6,4,core,12,46
2,restricted connectedness,6,4,core,12,0
3,restricted connectedness,1,1,core,4,33
3,restricted connectedness,1,1,core,4,45
3,restricted connectedness,1,1,core,4,39
3,restricted connectedness,1,1,core,4,47
3,restricted connectedness,1,1,core,4,29
3,restricted connectedness,1,1,core,4,40
3,restricted connectedness,1,1,core,4,37
3,restricted connectedness,1,1,core,4,38
3,restricted connectedness,1,1,core,4,37
3,restricted connectedness,1,1,core,4,32
1,control,1,1,core,4,41
1,control,1,1,core,4,49
1,control,1,1,core,4,48
1,control,1,1,core,4,63
1,control,1,1,core,4,45
1,control,1,1,core,4,36
1,control,1,1,core,4,52
1,control,1,1,core,4,39
1,control,1,1,core,4,49
1,control,1,1,core,4,35
2,restricted connectedness,2,1,core,4,22
2,restricted connectedness,2,1,core,4,23
2,restricted connectedness,2,1,core,4,42
2,restricted connectedness,2,1,core,4,26
2,restricted connectedness,2,1,core,4,0
2,restricted connectedness,2,1,core,4,47
2,restricted connectedness,2,1,core,4,36
2,restricted connectedness,2,1,core,4,32
2,restricted connectedness,2,1,core,4,16
2,restricted connectedness,2,1,core,4,28
2,restricted connectedness,2,1,front,4,61
2,restricted connectedness,2,1,front,4,53
2,restricted connectedness,2,1,front,4,62
2,restricted connectedness,2,1,front,4,58
2,restricted connectedness,2,1,front,4,49
2,restricted connectedness,2,1,front,4,41
2,restricted connectedness,2,1,front,4,54
2,restricted connectedness,2,1,front,4,37
2,restricted connectedness,2,1,front,4,57
2,restricted connectedness,2,1,front,4,52
3,control,1,1,front,4,51
3,control,1,1,front,4,40
3,control,1,1,front,4,46
3,control,1,1,front,4,42
3,control,1,1,front,4,55
3,control,1,1,front,4,44
3,control,1,1,front,4,43
3,control,1,1,front,4,48
3,control,1,1,front,4,53
3,control,1,1,front,4,59
2,control,1,1,front,4,42
2,control,1,1,front,4,39
2,control,1,1,front,4,42
2,control,1,1,front,4,0
2,control,1,1,front,4,45
2,control,1,1,front,4,43
2,control,1,1,front,4,49
2,control,1,1,front,4,36
2,control,1,1,front,4,42
2,control,1,1,front,4,27
3,restricted connectedness,1,1,front,4,35
3,restricted connectedness,1,1,front,4,34
3,restricted connectedness,1,1,front,4,24
3,restricted connectedness,1,1,front,4,27
3,restricted connectedness,1,1,front,4,38
3,restricted connectedness,1,1,front,4,43
3,restricted connectedness,1,1,front,4,37
3,restricted connectedness,1,1,front,4,36
3,restricted connectedness,1,1,front,4,24
3,restricted connectedness,1,1,front,4,48
1,restricted connectedness,1,1,front,4,27
1,restricted connectedness,1,1,front,4,42
1,restricted connectedness,1,1,front,4,20
1,restricted connectedness,1,1,front,4,35
1,restricted connectedness,1,1,front,4,25
1,restricted connectedness,1,1,front,4,31
1,restricted connectedness,1,1,front,4,0
1,restricted connectedness,1,1,front,4,22
1,restricted connectedness,1,1,front,4,32
1,restricted connectedness,1,1,front,4,48
2,control,1,1,core,4,54
2,control,1,1,core,4,52
2,control,1,1,core,4,38
2,control,1,1,core,4,36
2,control,1,1,core,4,56
2,control,1,1,core,4,39
2,control,1,1,core,4,37
2,control,1,1,core,4,48
2,control,1,1,core,4,50
2,control,1,1,core,4,42
1,restricted connectedness,1,1,core,4,41
1,restricted connectedness,1,1,core,4,39
1,restricted connectedness,1,1,core,4,41
1,restricted connectedness,1,1,core,4,38
1,restricted connectedness,1,1,core,4,44
1,restricted connectedness,1,1,core,4,0
1,restricted connectedness,1,1,core,4,26
1,restricted connectedness,1,1,core,4,42
1,restricted connectedness,1,1,core,4,38
1,restricted connectedness,1,1,core,4,42
1,control,1,1,front,4,45
1,control,1,1,front,4,37
1,control,1,1,front,4,35
1,control,1,1,front,4,41
1,control,1,1,front,4,48
1,control,1,1,front,4,33
1,control,1,1,front,4,39
1,control,1,1,front,4,48
1,control,1,1,front,4,24
1,control,1,1,front,4,16
3,control,1,1,core,4,49
3,control,1,1,core,4,35
3,control,1,1,core,4,37
3,control,1,1,core,4,40
3,control,1,1,core,4,51
3,control,1,1,core,4,41
3,control,1,1,core,4,39
3,control,1,1,core,4,45
3,control,1,1,core,4,51
3,control,1,1,core,4,46
2,control,2,2,core,4,31
2,control,2,2,core,4,30
2,control,2,2,core,4,47
2,control,2,2,core,4,41
2,control,2,2,core,4,29
2,control,2,2,core,4,44
2,control,2,2,core,4,47
2,control,2,2,core,4,27
2,control,2,2,core,4,36
2,control,2,2,core,4,20
2,restricted connectedness,3,2,core,4,36
2,restricted connectedness,3,2,core,4,51
2,restricted connectedness,3,2,core,4,31
2,restricted connectedness,3,2,core,4,54
2,restricted connectedness,3,2,core,4,37
2,restricted connectedness,3,2,core,4,43
2,restricted connectedness,3,2,core,4,43
2,restricted connectedness,3,2,core,4,48
2,restricted connectedness,3,2,core,4,33
2,restricted connectedness,3,2,core,4,34
1,control,2,2,core,4,40
1,control,2,2,core,4,28
1,control,2,2,core,4,0
1,control,2,2,core,4,39
1,control,2,2,core,4,31
1,control,2,2,core,4,30
1,control,2,2,core,4,41
1,control,2,2,core,4,29
1,control,2,2,core,4,0
1,control,2,2,core,4,31
1,control,2,2,front,4,29
1,control,2,2,front,4,50
1,control,2,2,front,4,55
1,control,2,2,front,4,36
1,control,2,2,front,4,36
1,control,2,2,front,4,50
1,control,2,2,front,4,52
1,control,2,2,front,4,43
1,control,2,2,front,4,58
1,control,2,2,front,4,23
1,restricted connectedness,3,2,core,4,28
1,restricted connectedness,3,2,core,4,32
1,restricted connectedness,3,2,core,4,35
1,restricted connectedness,3,2,core,4,39
1,restricted connectedness,3,2,core,4,28
1,restricted connectedness,3,2,core,4,38
1,restricted connectedness,3,2,core,4,45
1,restricted connectedness,3,2,core,4,20
1,restricted connectedness,3,2,core,4,37
1,restricted connectedness,3,2,core,4,45
3,restricted connectedness,3,2,core,4,33
3,restricted connectedness,3,2,core,4,42
3,restricted connectedness,3,2,core,4,51
3,restricted connectedness,3,2,core,4,44
3,restricted connectedness,3,2,core,4,25
3,restricted connectedness,3,2,core,4,32
3,restricted connectedness,3,2,core,4,36
3,restricted connectedness,3,2,core,4,34
3,restricted connectedness,3,2,core,4,0
3,restricted connectedness,3,2,core,4,33
1,restricted connectedness,3,2,front,4,30
1,restricted connectedness,3,2,front,4,23
1,restricted connectedness,3,2,front,4,41
1,restricted connectedness,3,2,front,4,24
1,restricted connectedness,3,2,front,4,26
1,restricted connectedness,3,2,front,4,39
1,restricted connectedness,3,2,front,4,43
1,restricted connectedness,3,2,front,4,43
1,restricted connectedness,3,2,front,4,34
1,restricted connectedness,3,2,front,4,26
3,restricted connectedness,3,2,front,4,49
3,restricted connectedness,3,2,front,4,38
3,restricted connectedness,3,2,front,4,34
3,restricted connectedness,3,2,front,4,33
3,restricted connectedness,3,2,front,4,39
3,restricted connectedness,3,2,front,4,40
3,restricted connectedness,3,2,front,4,52
3,restricted connectedness,3,2,front,4,42
3,restricted connectedness,3,2,front,4,25
3,restricted connectedness,3,2,front,4,49
2,control,2,2,front,4,38
2,control,2,2,front,4,33
2,control,2,2,front,4,24
2,control,2,2,front,4,24
2,control,2,2,front,4,52
2,control,2,2,front,4,34
2,control,2,2,front,4,49
2,control,2,2,front,4,43
2,control,2,2,front,4,57
1,control,3,2,front,4,49
1,control,3,2,front,4,51
1,control,3,2,front,4,55
1,control,3,2,front,4,45
1,control,3,2,front,4,43
1,control,3,2,front,4,54
1,control,3,2,front,4,43
1,control,3,2,front,4,49
1,control,3,2,front,4,40
1,control,3,2,front,4,56
1,control,3,2,core,4,42
1,control,3,2,core,4,43
1,control,3,2,core,4,43
1,control,3,2,core,4,39
1,control,3,2,core,4,25
1,control,3,2,core,4,44
1,control,3,2,core,4,35
1,control,3,2,core,4,39
1,control,3,2,core,4,30
1,control,3,2,core,4,44
2,restricted connectedness,3,2,front,4,43
2,restricted connectedness,3,2,front,4,8
2,restricted connectedness,3,2,front,4,40
2,restricted connectedness,3,2,front,4,41
2,restricted connectedness,3,2,front,4,37
2,restricted connectedness,3,2,front,4,59
2,restricted connectedness,3,2,front,4,35
2,restricted connectedness,3,2,front,4,50
2,restricted connectedness,3,2,front,4,37
2,restricted connectedness,3,2,front,4,57
3,control,4,3,front,4,36
3,control,4,3,front,4,46
3,control,4,3,front,4,43
3,control,4,3,front,4,39
3,control,4,3,front,4,34
3,control,4,3,front,4,43
3,control,4,3,front,4,43
3,control,4,3,front,4,49
3,control,4,3,front,4,52
3,control,4,3,front,4,55
2,control,4,3,core,4,51
2,control,4,3,core,4,0
2,control,4,3,core,4,0
2,control,4,3,core,4,43
2,control,4,3,core,4,40
2,control,4,3,core,4,24
2,control,4,3,core,4,35
2,control,4,3,core,4,35
2,control,4,3,core,4,48
2,control,4,3,core,4,47
3,control,4,3,core,4,47
3,control,4,3,core,4,44
3,control,4,3,core,4,43
3,control,4,3,core,4,49
3,control,4,3,core,4,52
3,control,4,3,core,4,50
3,control,4,3,core,4,25
3,control,4,3,core,4,46
3,control,4,3,core,4,41
3,control,4,3,core,4,60
3,restricted connectedness,4,3,front,4,37
3,restricted connectedness,4,3,front,4,45
3,restricted connectedness,4,3,front,4,51
3,restricted connectedness,4,3,front,4,34
3,restricted connectedness,4,3,front,4,36
3,restricted connectedness,4,3,front,4,30
3,restricted connectedness,4,3,front,4,48
3,restricted connectedness,4,3,front,4,45
3,restricted connectedness,4,3,front,4,30
3,restricted connectedness,4,3,front,4,36
3,restricted connectedness,4,3,core,4,45
3,restricted connectedness,4,3,core,4,49
3,restricted connectedness,4,3,core,4,46
3,restricted connectedness,4,3,core,4,55
3,restricted connectedness,4,3,core,4,50
3,restricted connectedness,4,3,core,4,44
3,restricted connectedness,4,3,core,4,47
3,restricted connectedness,4,3,core,4,45
3,restricted connectedness,4,3,core,4,46
3,restricted connectedness,4,3,core,4,43
2,control,4,3,front,4,58
2,control,4,3,front,4,36
2,control,4,3,front,4,55
2,control,4,3,front,4,45
2,control,4,3,front,4,38
2,control,4,3,front,4,36
2,control,4,3,front,4,19
2,control,4,3,front,4,25
2,control,4,3,front,4,42
2,control,4,3,front,4,41
3,restricted connectedness,5,3,core,4,50
3,restricted connectedness,5,3,core,4,51
3,restricted connectedness,5,3,core,4,32
3,restricted connectedness,5,3,core,4,40
3,restricted connectedness,5,3,core,4,53
3,restricted connectedness,5,3,core,4,44
3,restricted connectedness,5,3,core,4,40
3,restricted connectedness,5,3,core,4,22
3,restricted connectedness,5,3,core,4,40
3,restricted connectedness,5,3,core,4,38
1,control,5,3,core,4,0
1,control,5,3,core,4,34
1,control,5,3,core,4,0
1,control,5,3,core,4,59
1,control,5,3,core,4,49
1,control,5,3,core,4,44
1,control,5,3,core,4,0
1,control,5,3,core,4,38
1,control,5,3,core,4,27
1,control,5,3,core,4,45
1,control,5,3,front,4,43
1,control,5,3,front,4,0
1,control,5,3,front,4,36
1,control,5,3,front,4,40
1,control,5,3,front,4,39
1,control,5,3,front,4,27
1,control,5,3,front,4,38
1,control,5,3,front,4,41
1,control,5,3,front,4,34
1,control,5,3,front,4,36
3,restricted connectedness,5,3,front,4,45
3,restricted connectedness,5,3,front,4,35
3,restricted connectedness,5,3,front,4,44
3,restricted connectedness,5,3,front,4,35
3,restricted connectedness,5,3,front,4,32
3,restricted connectedness,5,3,front,4,57
3,restricted connectedness,5,3,front,4,37
3,restricted connectedness,5,3,front,4,30
3,restricted connectedness,5,3,front,4,36
3,restricted connectedness,5,3,front,4,48
1,restricted connectedness,5,3,front,4,50
1,restricted connectedness,5,3,front,4,70
1,restricted connectedness,5,3,front,4,61
1,restricted connectedness,5,3,front,4,48
1,restricted connectedness,5,3,front,4,46
1,restricted connectedness,5,3,front,4,38
1,restricted connectedness,5,3,front,4,43
1,restricted connectedness,5,3,front,4,42
1,restricted connectedness,5,3,front,4,50
1,restricted connectedness,5,3,front,4,27
1,restricted connectedness,5,3,core,4,0
1,restricted connectedness,5,3,core,4,29
1,restricted connectedness,5,3,core,4,24
1,restricted connectedness,5,3,core,4,0
1,restricted connectedness,5,3,core,4,0
1,restricted connectedness,5,3,core,4,0
1,restricted connectedness,5,3,core,4,30
1,restricted connectedness,5,3,core,4,42
1,restricted connectedness,5,3,core,4,34
1,restricted connectedness,5,3,core,4,31
2,control,5,4,core,4,57
2,control,5,4,core,4,0
2,control,5,4,core,4,37
2,control,5,4,core,4,24
2,control,5,4,core,4,23
2,control,5,4,core,4,21
2,control,5,4,core,4,49
2,control,5,4,core,4,41
2,control,5,4,core,4,41
2,control,5,4,core,4,40
1,restricted connectedness,6,4,core,4,19
1,restricted connectedness,6,4,core,4,35
1,restricted connectedness,6,4,core,4,70
1,restricted connectedness,6,4,core,4,38
1,restricted connectedness,6,4,core,4,39
1,restricted connectedness,6,4,core,4,37
1,restricted connectedness,6,4,core,4,11
1,restricted connectedness,6,4,core,4,21
1,restricted connectedness,6,4,core,4,29
1,restricted connectedness,6,4,core,4,30
3,control,6,4,core,4,43
3,control,6,4,core,4,57
3,control,6,4,core,4,50
3,control,6,4,core,4,38
3,control,6,4,core,4,43
3,control,6,4,core,4,48
3,control,6,4,core,4,55
3,control,6,4,core,4,37
3,control,6,4,core,4,50
3,control,6,4,core,4,53
2,restricted connectedness,5,4,front,4,0
2,restricted connectedness,5,4,front,4,45
2,restricted connectedness,5,4,front,4,32
2,restricted connectedness,5,4,front,4,27
2,restricted connectedness,5,4,front,4,58
2,restricted connectedness,5,4,front,4,24
2,restricted connectedness,5,4,front,4,11
2,restricted connectedness,5,4,front,4,0
2,restricted connectedness,5,4,front,4,22
2,restricted connectedness,5,4,front,4,30
3,control,5,4,core,4,52
3,control,5,4,core,4,44
3,control,5,4,core,4,60
3,control,5,4,core,4,55
3,control,5,4,core,4,46
3,control,5,4,core,4,44
3,control,5,4,core,4,46
3,control,5,4,core,4,43
3,control,5,4,core,4,38
3,control,5,4,core,4,32
3,control,6,4,front,4,40
3,control,6,4,front,4,31
3,control,6,4,front,4,38
3,control,6,4,front,4,42
3,control,6,4,front,4,32
3,control,6,4,front,4,26
3,control,6,4,front,4,0
3,control,6,4,front,4,40
3,control,6,4,front,4,37
3,control,6,4,front,4,27
2,restricted connectedness,5,4,core,4,30
2,restricted connectedness,5,4,core,4,39
2,restricted connectedness,5,4,core,4,42
2,restricted connectedness,5,4,core,4,39
2,restricted connectedness,5,4,core,4,35
2,restricted connectedness,5,4,core,4,0
2,restricted connectedness,5,4,core,4,34
2,restricted connectedness,5,4,core,4,37
2,restricted connectedness,5,4,core,4,40
2,restricted connectedness,5,4,core,4,44
2,control,5,4,front,4,36
2,control,5,4,front,4,48
2,control,5,4,front,4,44
2,control,5,4,front,4,40
2,control,5,4,front,4,55
2,control,5,4,front,4,32
2,control,5,4,front,4,38
2,control,5,4,front,4,58
2,control,5,4,front,4,48
2,control,5,4,front,4,51
2,restricted connectedness,6,4,front,4,44
2,restricted connectedness,6,4,front,4,35
2,restricted connectedness,6,4,front,4,43
2,restricted connectedness,6,4,front,4,47
2,restricted connectedness,6,4,front,4,24
2,restricted connectedness,6,4,front,4,0
2,restricted connectedness,6,4,front,4,43
2,restricted connectedness,6,4,front,4,42
2,restricted connectedness,6,4,front,4,48
2,restricted connectedness,6,4,front,4,35
3,control,5,4,front,4,34
3,control,5,4,front,4,36
3,control,5,4,front,4,60
3,control,5,4,front,4,37
3,control,5,4,front,4,30
3,control,5,4,front,4,39
3,control,5,4,front,4,39
3,control,5,4,front,4,43
3,control,5,4,front,4,42
1,restricted connectedness,6,4,front,4,30
1,restricted connectedness,6,4,front,4,35
1,restricted connectedness,6,4,front,4,31
1,restricted connectedness,6,4,front,4,47
1,restricted connectedness,6,4,front,4,47
1,restricted connectedness,6,4,front,4,29
1,restricted connectedness,6,4,front,4,30
1,restricted connectedness,6,4,front,4,69
1,restricted connectedness,6,4,front,4,34
1,restricted connectedness,6,4,front,4,56
2,restricted connectedness,6,4,core,4,38
2,restricted connectedness,6,4,core,4,52
2,restricted connectedness,6,4,core,4,35
2,restricted connectedness,6,4,core,4,2
2,restricted connectedness,6,4,core,4,40
2,restricted connectedness,6,4,core,4,47
2,restricted connectedness,6,4,core,4,24
2,restricted connectedness,6,4,core,4,21
2,restricted connectedness,6,4,core,4,47
2,restricted connectedness,6,4,core,4,35
